projectCode,type,amount,description,date
ZT-2024-001,agent,142500,業務代理佣金 5%,2024-03-20
ZT-2024-001,referral,28500,客戶轉介費,2024-03-25
ZT-2024-002,agent,82500,業務代理佣金 5%,2024-04-10
ZT-2024-002,rebate,16500,設備採購回扣,2024-05-01
ZT-2024-003,referral,49000,同業轉介費,2024-05-15
ZT-2024-004,agent,160000,業務代理佣金 5%,2024-06-10
ZT-2024-004,referral,32000,客戶轉介費,2024-06-15
ZT-2024-005,agent,225000,業務代理佣金 5%,2024-07-15
ZT-2024-005,rebate,45000,大型設備採購回扣,2024-08-01
ZT-2025-001,agent,37500,業務代理佣金 5%,2025-01-15
ZT-2025-002,agent,99000,業務代理佣金 5%,2025-01-20
ZT-2025-002,referral,19800,客戶轉介費,2025-01-25
ZT-2025-003,agent,132500,業務代理佣金 5%,2025-02-05
